"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value"
"Cromwell School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",43
"Cromwell School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",2.2
"Cromwell School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",199
"Cromwell School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",10
"Cromwell School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",1985
"Cromwell School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",319
"Cromwell School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",16.2
"Cromwell School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",47
"Cromwell School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",2.4
"Cromwell School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",209
"Cromwell School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",10.6
"Cromwell School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",1968
"Cromwell School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",403
"Cromwell School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20.3
"Cromwell School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",52
"Cromwell School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",2.6
"Cromwell School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",226
"Cromwell School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",11.4
"Cromwell School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",1984
"Cromwell School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",393
"Cromwell School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",19.7
"Cromwell School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",63
"Cromwell School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",3.2
"Cromwell School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",230
"Cromwell School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",11.5
"Cromwell School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1997
"Cromwell School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",425
"Cromwell School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",21.2
"Cromwell School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",69
"Cromwell School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",3.4
"Cromwell School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",239
"Cromwell School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",11.9
"Cromwell School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",2004
"Cromwell School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",366
"Cromwell School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",18.6
"Cromwell School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",74
"Cromwell School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",3.8
"Cromwell School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",230
"Cromwell School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",11.7
"Cromwell School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1973
"Danbury School District",900118500,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5203
"Danbury School District",900118500,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",48.1
"Danbury School District",900118500,"2011-2012","Indicator of Educational Need","English Language Learner","Number",1948
"Danbury School District",900118500,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",18
"Danbury School District",900118500,"2011-2012","Indicator of Educational Need","Special Education","Number",1161
"Danbury School District",900118500,"2011-2012","Indicator of Educational Need","Special Education","Percent",10.7
"Danbury School District",900118500,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",10822
"Danbury School District",900118500,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5485
"Danbury School District",900118500,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",50.1
"Danbury School District",900118500,"2012-2013","Indicator of Educational Need","English Language Learner","Number",2106
"Danbury School District",900118500,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",19.2
"Danbury School District",900118500,"2012-2013","Indicator of Educational Need","Special Education","Number",1217
"Danbury School District",900118500,"2012-2013","Indicator of Educational Need","Special Education","Percent",11.1
"Danbury School District",900118500,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",10950
"Danbury School District",900118500,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5771
"Danbury School District",900118500,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",53.5
"Danbury School District",900118500,"2013-2014","Indicator of Educational Need","English Language Learner","Number",2199
"Danbury School District",900118500,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",20.4
"Danbury School District",900118500,"2013-2014","Indicator of Educational Need","Special Education","Number",1268
"Danbury School District",900118500,"2013-2014","Indicator of Educational Need","Special Education","Percent",11.7
"Danbury School District",900118500,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",10793
"Danbury School District",900118500,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",6082
"Danbury School District",900118500,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",55.6
"Danbury School District",900118500,"2014-2015","Indicator of Educational Need","English Language Learner","Number",2423
"Danbury School District",900118500,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",22.1
"Danbury School District",900118500,"2014-2015","Indicator of Educational Need","Special Education","Number",1333
"Danbury School District",900118500,"2014-2015","Indicator of Educational Need","Special Education","Percent",12.2
"Danbury School District",900118500,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",10945
"Danbury School District",900118500,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5969
"Danbury School District",900118500,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",53.5
"Danbury School District",900118500,"2015-2016","Indicator of Educational Need","English Language Learner","Number",2580
"Danbury School District",900118500,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",23.1
"Danbury School District",900118500,"2015-2016","Indicator of Educational Need","Special Education","Number",1397
"Danbury School District",900118500,"2015-2016","Indicator of Educational Need","Special Education","Percent",12.5
"Danbury School District",900118500,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",11157
"Danbury School District",900118500,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",6181
