"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value","R#","Region"
"Bridgeport School District",900108070,"2011-2012","Indicator of Educational Need","English Language Learner","Number",2558,1,"Southwest"
"Bridgeport School District",900108070,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",12.6,1,"Southwest"
"Bridgeport School District",900108070,"2011-2012","Indicator of Educational Need","Special Education","Number",2674,1,"Southwest"
"Bridgeport School District",900108070,"2011-2012","Indicator of Educational Need","Special Education","Percent",13.1,1,"Southwest"
"Bridgeport School District",900108070,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",20367,1,"Southwest"
"Bridgeport School District",900108070,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999,1,"Southwest"
"Bridgeport School District",900108070,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999,1,"Southwest"
"Bridgeport School District",900108070,"2012-2013","Indicator of Educational Need","English Language Learner","Number",2674,1,"Southwest"
"Bridgeport School District",900108070,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",13.1,1,"Southwest"
"Bridgeport School District",900108070,"2012-2013","Indicator of Educational Need","Special Education","Number",2721,1,"Southwest"
"Bridgeport School District",900108070,"2012-2013","Indicator of Educational Need","Special Education","Percent",13.4,1,"Southwest"
"Bridgeport School District",900108070,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",20338,1,"Southwest"
"Bridgeport School District",900108070,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",20900,1,"Southwest"
"Bridgeport School District",900108070,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",99.9,1,"Southwest"
"Bridgeport School District",900108070,"2013-2014","Indicator of Educational Need","English Language Learner","Number",2696,1,"Southwest"
"Bridgeport School District",900108070,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",12.9,1,"Southwest"
"Bridgeport School District",900108070,"2013-2014","Indicator of Educational Need","Special Education","Number",2782,1,"Southwest"
"Bridgeport School District",900108070,"2013-2014","Indicator of Educational Need","Special Education","Percent",13.3,1,"Southwest"
"Bridgeport School District",900108070,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",20929,1,"Southwest"
"Bridgeport School District",900108070,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999,1,"Southwest"
"Bridgeport School District",900108070,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999,1,"Southwest"
"Bridgeport School District",900108070,"2014-2015","Indicator of Educational Need","English Language Learner","Number",2958,1,"Southwest"
"Bridgeport School District",900108070,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",13.9,1,"Southwest"
"Bridgeport School District",900108070,"2014-2015","Indicator of Educational Need","Special Education","Number",3114,1,"Southwest"
"Bridgeport School District",900108070,"2014-2015","Indicator of Educational Need","Special Education","Percent",14.7,1,"Southwest"
"Bridgeport School District",900108070,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",21244,1,"Southwest"
"Bridgeport School District",900108070,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999,1,"Southwest"
"Bridgeport School District",900108070,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999,1,"Southwest"
"Bridgeport School District",900108070,"2015-2016","Indicator of Educational Need","English Language Learner","Number",2978,1,"Southwest"
"Bridgeport School District",900108070,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",14.1,1,"Southwest"
"Bridgeport School District",900108070,"2015-2016","Indicator of Educational Need","Special Education","Number",3198,1,"Southwest"
"Bridgeport School District",900108070,"2015-2016","Indicator of Educational Need","Special Education","Percent",15.1,1,"Southwest"
"Bridgeport School District",900108070,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",21191,1,"Southwest"
"Bridgeport School District",900108070,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",10855,1,"Southwest"
"Bridgeport School District",900108070,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",51.1,1,"Southwest"
"Bridgeport School District",900108070,"2016-2017","Indicator of Educational Need","English Language Learner","Number",3120,1,"Southwest"
"Bridgeport School District",900108070,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",14.7,1,"Southwest"
"Bridgeport School District",900108070,"2016-2017","Indicator of Educational Need","Special Education","Number",3434,1,"Southwest"
"Bridgeport School District",900108070,"2016-2017","Indicator of Educational Need","Special Education","Percent",16.2,1,"Southwest"
"Bridgeport School District",900108070,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",21222,1,"Southwest"
"Bridgeport School District",900108070,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",11962,1,"Southwest"
"Bridgeport School District",900108070,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",57.2,1,"Southwest"
"Bridgeport School District",900108070,"2017-2018","Indicator of Educational Need","English Language Learner","Number",3445,1,"Southwest"
"Bridgeport School District",900108070,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",16.5,1,"Southwest"
"Bridgeport School District",900108070,"2017-2018","Indicator of Educational Need","Special Education","Number",3527,1,"Southwest"
"Bridgeport School District",900108070,"2017-2018","Indicator of Educational Need","Special Education","Percent",16.9,1,"Southwest"
"Bridgeport School District",900108070,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",20896,1,"Southwest"
"Bristol School District",900308490,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",3230,6,"Central"
"Bristol School District",900308490,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",37.9,6,"Central"
"Bristol School District",900308490,"2011-2012","Indicator of Educational Need","English Language Learner","Number",268,6,"Central"
"Bristol School District",900308490,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",3.1,6,"Central"
"Bristol School District",900308490,"2011-2012","Indicator of Educational Need","Special Education","Number",1272,6,"Central"
"Bristol School District",900308490,"2011-2012","Indicator of Educational Need","Special Education","Percent",14.9,6,"Central"
"Bristol School District",900308490,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",8523,6,"Central"
"Bristol School District",900308490,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",3554,6,"Central"
"Bristol School District",900308490,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",42.5,6,"Central"
"Bristol School District",900308490,"2012-2013","Indicator of Educational Need","English Language Learner","Number",328,6,"Central"
"Bristol School District",900308490,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",3.9,6,"Central"
"Bristol School District",900308490,"2012-2013","Indicator of Educational Need","Special Education","Number",1298,6,"Central"
"Bristol School District",900308490,"2012-2013","Indicator of Educational Need","Special Education","Percent",15.5,6,"Central"
"Bristol School District",900308490,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",8365,6,"Central"
"Bristol School District",900308490,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",3715,6,"Central"
"Bristol School District",900308490,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",44.9,6,"Central"
"Bristol School District",900308490,"2013-2014","Indicator of Educational Need","English Language Learner","Number",317,6,"Central"
"Bristol School District",900308490,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.8,6,"Central"
"Bristol School District",900308490,"2013-2014","Indicator of Educational Need","Special Education","Number",1334,6,"Central"
"Bristol School District",900308490,"2013-2014","Indicator of Educational Need","Special Education","Percent",16.1,6,"Central"
"Bristol School District",900308490,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",8268,6,"Central"
"Bristol School District",900308490,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",3814,6,"Central"
"Bristol School District",900308490,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",46.3,6,"Central"
"Bristol School District",900308490,"2014-2015","Indicator of Educational Need","English Language Learner","Number",354,6,"Central"
"Bristol School District",900308490,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",4.3,6,"Central"
"Bristol School District",900308490,"2014-2015","Indicator of Educational Need","Special Education","Number",1406,6,"Central"
